source,target,relation,status
Stakeholder,Stakeholder,Composition,allow
Stakeholder,Stakeholder,Aggregation,allow
Stakeholder,Stakeholder,Assignment,deny
Stakeholder,Stakeholder,Realization,deny
Stakeholder,Stakeholder,Serving,deny
Stakeholder,Stakeholder,Access,deny
Stakeholder,Stakeholder,Influence,allow
Stakeholder,Stakeholder,Triggering,deny
Stakeholder,Stakeholder,Flow,deny
Stakeholder,Stakeholder,Specialization,allow
Stakeholder,Stakeholder,Association,allow
Stakeholder,Driver,Composition,warn
Stakeholder,Driver,Aggregation,warn
Stakeholder,Driver,Assignment,deny
Stakeholder,Driver,Realization,deny
Stakeholder,Driver,Serving,deny
Stakeholder,Driver,Access,deny
Stakeholder,Driver,Influence,allow
Stakeholder,Driver,Triggering,deny
Stakeholder,Driver,Flow,deny
Stakeholder,Driver,Specialization,deny
Stakeholder,Driver,Association,allow
Stakeholder,Assessment,Composition,warn
Stakeholder,Assessment,Aggregation,warn
Stakeholder,Assessment,Assignment,deny
Stakeholder,Assessment,Realization,deny
Stakeholder,Assessment,Serving,deny
Stakeholder,Assessment,Access,deny
Stakeholder,Assessment,Influence,allow
Stakeholder,Assessment,Triggering,deny
Stakeholder,Assessment,Flow,deny
Stakeholder,Assessment,Specialization,deny
Stakeholder,Assessment,Association,allow
Stakeholder,Goal,Composition,warn
Stakeholder,Goal,Aggregation,warn
Stakeholder,Goal,Assignment,deny
Stakeholder,Goal,Realization,deny
Stakeholder,Goal,Serving,deny
Stakeholder,Goal,Access,deny
Stakeholder,Goal,Influence,allow
Stakeholder,Goal,Triggering,deny
Stakeholder,Goal,Flow,deny
Stakeholder,Goal,Specialization,deny
Stakeholder,Goal,Association,allow
Stakeholder,Outcome,Composition,warn
Stakeholder,Outcome,Aggregation,warn
Stakeholder,Outcome,Assignment,deny
Stakeholder,Outcome,Realization,deny
Stakeholder,Outcome,Serving,deny
Stakeholder,Outcome,Access,deny
Stakeholder,Outcome,Influence,allow
Stakeholder,Outcome,Triggering,deny
Stakeholder,Outcome,Flow,deny
Stakeholder,Outcome,Specialization,deny
Stakeholder,Outcome,Association,allow
Stakeholder,Principle,Composition,warn
Stakeholder,Principle,Aggregation,warn
Stakeholder,Principle,Assignment,deny
Stakeholder,Principle,Realization,deny
Stakeholder,Principle,Serving,deny
Stakeholder,Principle,Access,deny
Stakeholder,Principle,Influence,allow
Stakeholder,Principle,Triggering,deny
Stakeholder,Principle,Flow,deny
Stakeholder,Principle,Specialization,deny
Stakeholder,Principle,Association,allow
Stakeholder,Requirement,Composition,warn
Stakeholder,Requirement,Aggregation,warn
Stakeholder,Requirement,Assignment,deny
Stakeholder,Requirement,Realization,deny
Stakeholder,Requirement,Serving,deny
Stakeholder,Requirement,Access,deny
Stakeholder,Requirement,Influence,allow
Stakeholder,Requirement,Triggering,deny
Stakeholder,Requirement,Flow,deny
Stakeholder,Requirement,Specialization,deny
Stakeholder,Requirement,Association,allow
Stakeholder,Constraint,Composition,warn
Stakeholder,Constraint,Aggregation,warn
Stakeholder,Constraint,Assignment,deny
Stakeholder,Constraint,Realization,deny
Stakeholder,Constraint,Serving,deny
Stakeholder,Constraint,Access,deny
Stakeholder,Constraint,Influence,allow
Stakeholder,Constraint,Triggering,deny
Stakeholder,Constraint,Flow,deny
Stakeholder,Constraint,Specialization,deny
Stakeholder,Constraint,Association,allow
Stakeholder,Meaning,Composition,warn
Stakeholder,Meaning,Aggregation,warn
Stakeholder,Meaning,Assignment,deny
Stakeholder,Meaning,Realization,deny
Stakeholder,Meaning,Serving,deny
Stakeholder,Meaning,Access,deny
Stakeholder,Meaning,Influence,allow
Stakeholder,Meaning,Triggering,deny
Stakeholder,Meaning,Flow,deny
Stakeholder,Meaning,Specialization,deny
Stakeholder,Meaning,Association,allow
Stakeholder,Value,Composition,warn
Stakeholder,Value,Aggregation,warn
Stakeholder,Value,Assignment,deny
Stakeholder,Value,Realization,deny
Stakeholder,Value,Serving,deny
Stakeholder,Value,Access,deny
Stakeholder,Value,Influence,allow
Stakeholder,Value,Triggering,deny
Stakeholder,Value,Flow,deny
Stakeholder,Value,Specialization,deny
Stakeholder,Value,Association,allow
Stakeholder,Resource,Composition,deny
Stakeholder,Resource,Aggregation,deny
Stakeholder,Resource,Assignment,deny
Stakeholder,Resource,Realization,deny
Stakeholder,Resource,Serving,deny
Stakeholder,Resource,Access,deny
Stakeholder,Resource,Influence,deny
Stakeholder,Resource,Triggering,deny
Stakeholder,Resource,Flow,deny
Stakeholder,Resource,Specialization,deny
Stakeholder,Resource,Association,allow
Stakeholder,Capability,Composition,deny
Stakeholder,Capability,Aggregation,deny
Stakeholder,Capability,Assignment,deny
Stakeholder,Capability,Realization,deny
Stakeholder,Capability,Serving,deny
Stakeholder,Capability,Access,deny
Stakeholder,Capability,Influence,deny
Stakeholder,Capability,Triggering,deny
Stakeholder,Capability,Flow,deny
Stakeholder,Capability,Specialization,deny
Stakeholder,Capability,Association,allow
Stakeholder,CourseOfAction,Composition,deny
Stakeholder,CourseOfAction,Aggregation,deny
Stakeholder,CourseOfAction,Assignment,deny
Stakeholder,CourseOfAction,Realization,deny
Stakeholder,CourseOfAction,Serving,deny
Stakeholder,CourseOfAction,Access,deny
Stakeholder,CourseOfAction,Influence,deny
Stakeholder,CourseOfAction,Triggering,deny
Stakeholder,CourseOfAction,Flow,deny
Stakeholder,CourseOfAction,Specialization,deny
Stakeholder,CourseOfAction,Association,allow
Stakeholder,ValueStream,Composition,deny
Stakeholder,ValueStream,Aggregation,deny
Stakeholder,ValueStream,Assignment,deny
Stakeholder,ValueStream,Realization,deny
Stakeholder,ValueStream,Serving,deny
Stakeholder,ValueStream,Access,deny
Stakeholder,ValueStream,Influence,deny
Stakeholder,ValueStream,Triggering,deny
Stakeholder,ValueStream,Flow,deny
Stakeholder,ValueStream,Specialization,deny
Stakeholder,ValueStream,Association,allow
Stakeholder,BusinessActor,Composition,deny
Stakeholder,BusinessActor,Aggregation,deny
Stakeholder,BusinessActor,Assignment,deny
Stakeholder,BusinessActor,Realization,deny
Stakeholder,BusinessActor,Serving,deny
Stakeholder,BusinessActor,Access,deny
Stakeholder,BusinessActor,Influence,deny
Stakeholder,BusinessActor,Triggering,deny
Stakeholder,BusinessActor,Flow,deny
Stakeholder,BusinessActor,Specialization,deny
Stakeholder,BusinessActor,Association,allow
Stakeholder,BusinessRole,Composition,deny
Stakeholder,BusinessRole,Aggregation,deny
Stakeholder,BusinessRole,Assignment,deny
Stakeholder,BusinessRole,Realization,deny
Stakeholder,BusinessRole,Serving,deny
Stakeholder,BusinessRole,Access,deny
Stakeholder,BusinessRole,Influence,deny
Stakeholder,BusinessRole,Triggering,deny
Stakeholder,BusinessRole,Flow,deny
Stakeholder,BusinessRole,Specialization,deny
Stakeholder,BusinessRole,Association,allow
Stakeholder,BusinessCollaboration,Composition,deny
Stakeholder,BusinessCollaboration,Aggregation,deny
Stakeholder,BusinessCollaboration,Assignment,deny
Stakeholder,BusinessCollaboration,Realization,deny
Stakeholder,BusinessCollaboration,Serving,deny
Stakeholder,BusinessCollaboration,Access,deny
Stakeholder,BusinessCollaboration,Influence,deny
Stakeholder,BusinessCollaboration,Triggering,deny
Stakeholder,BusinessCollaboration,Flow,deny
Stakeholder,BusinessCollaboration,Specialization,deny
Stakeholder,BusinessCollaboration,Association,allow
Stakeholder,BusinessInterface,Composition,deny
Stakeholder,BusinessInterface,Aggregation,deny
Stakeholder,BusinessInterface,Assignment,deny
Stakeholder,BusinessInterface,Realization,deny
Stakeholder,BusinessInterface,Serving,deny
Stakeholder,BusinessInterface,Access,deny
Stakeholder,BusinessInterface,Influence,deny
Stakeholder,BusinessInterface,Triggering,deny
Stakeholder,BusinessInterface,Flow,deny
Stakeholder,BusinessInterface,Specialization,deny
Stakeholder,BusinessInterface,Association,allow
Stakeholder,BusinessProcess,Composition,deny
Stakeholder,BusinessProcess,Aggregation,deny
Stakeholder,BusinessProcess,Assignment,deny
Stakeholder,BusinessProcess,Realization,deny
Stakeholder,BusinessProcess,Serving,deny
Stakeholder,BusinessProcess,Access,deny
Stakeholder,BusinessProcess,Influence,deny
Stakeholder,BusinessProcess,Triggering,deny
Stakeholder,BusinessProcess,Flow,deny
Stakeholder,BusinessProcess,Specialization,deny
Stakeholder,BusinessProcess,Association,allow
Stakeholder,BusinessFunction,Composition,deny
Stakeholder,BusinessFunction,Aggregation,deny
Stakeholder,BusinessFunction,Assignment,deny
Stakeholder,BusinessFunction,Realization,deny
Stakeholder,BusinessFunction,Serving,deny
Stakeholder,BusinessFunction,Access,deny
Stakeholder,BusinessFunction,Influence,deny
Stakeholder,BusinessFunction,Triggering,deny
Stakeholder,BusinessFunction,Flow,deny
Stakeholder,BusinessFunction,Specialization,deny
Stakeholder,BusinessFunction,Association,allow
Stakeholder,BusinessInteraction,Composition,deny
Stakeholder,BusinessInteraction,Aggregation,deny
Stakeholder,BusinessInteraction,Assignment,deny
Stakeholder,BusinessInteraction,Realization,deny
Stakeholder,BusinessInteraction,Serving,deny
Stakeholder,BusinessInteraction,Access,deny
Stakeholder,BusinessInteraction,Influence,deny
Stakeholder,BusinessInteraction,Triggering,deny
Stakeholder,BusinessInteraction,Flow,deny
Stakeholder,BusinessInteraction,Specialization,deny
Stakeholder,BusinessInteraction,Association,allow
Stakeholder,BusinessEvent,Composition,deny
Stakeholder,BusinessEvent,Aggregation,deny
Stakeholder,BusinessEvent,Assignment,deny
Stakeholder,BusinessEvent,Realization,deny
Stakeholder,BusinessEvent,Serving,deny
Stakeholder,BusinessEvent,Access,deny
Stakeholder,BusinessEvent,Influence,deny
Stakeholder,BusinessEvent,Triggering,deny
Stakeholder,BusinessEvent,Flow,deny
Stakeholder,BusinessEvent,Specialization,deny
Stakeholder,BusinessEvent,Association,allow
Stakeholder,BusinessService,Composition,deny
Stakeholder,BusinessService,Aggregation,deny
Stakeholder,BusinessService,Assignment,deny
Stakeholder,BusinessService,Realization,deny
Stakeholder,BusinessService,Serving,deny
Stakeholder,BusinessService,Access,deny
Stakeholder,BusinessService,Influence,deny
